departure,arrival,flight_number,departure_time,arrival_time,remarks,period
HND,ITM,JAL 121,14:30,15:40,10月26日5分遅発(到着は同時刻)10月27日～11月30日5分早着,20251026_20260105
HND,ITM,JAL 125,14:45,15:55,12月26日～1月4日10分早発,20251026_20260105
HND,ITM,JAL 127,16:25,17:35,,20251026_20260105
HND,ITM,JAL 131,17:35,18:45,12月1日～1月5日5分早発(到着は同時刻),20251026_20260105
HND,ITM,JAL 133,18:05,19:15,12月1日～1月5日5分遅着,20251026_20260105
HND,ITM,JAL 137,18:45,20:00,12月1日～1月5日5分遅着,20251026_20260105
HND,ITM,JAL 139,18:55,20:20,10月26日～11月30日5分早着,20251026_20260105
HND,ITM,JAL 103,07:30,08:40,,20260106_20260228
HND,ITM,JAL 107,08:35,09:45,,20260106_20260228
HND,ITM,JAL 111,09:30,10:45,,20260106_20260228
HND,ITM,JAL 113,10:35,11:45,,20260106_20260228
HND,ITM,JAL 115,11:45,12:55,,20260106_20260228
HND,ITM,JAL 117,12:40,13:50,1月6～31日5分早発,20260106_20260228
HND,ITM,JAL 119,13:30,14:40,,20260106_20260228
HND,ITM,JAL 121,14:30,15:40,,20260106_20260228
HND,ITM,JAL 125,14:45,15:55,,20260106_20260228
HND,ITM,JAL 127,16:25,17:35,,20260106_20260228
HND,ITM,JAL 131,17:30,18:45,,20260106_20260228
HND,ITM,JAL 133,18:05,19:20,,20260106_20260228
HND,ITM,JAL 137,18:45,20:05,,20260106_20260228
HND,ITM,JAL 139,19:05,20:30,1月6～31日10分早発,20260106_20260228
HND,ITM,JAL 103,07:30,08:40,,20260301_20260328
HND,ITM,JAL 107,08:35,09:40,,20260301_20260328
HND,ITM,JAL 111,09:30,10:40,,20260301_20260328
HND,ITM,JAL 113,10:35,11:45,,20260301_20260328
HND,ITM,JAL 115,11:35,12:45,,20260301_20260328
HND,ITM,JAL 117,12:40,13:50,,20260301_20260328
HND,ITM,JAL 119,13:30,14:40,,20260301_20260328
HND,ITM,JAL 121,14:35,15:45,3月1～12日5分早発,20260301_20260328
HND,ITM,JAL 125,14:40,15:50,3月1～12日5分遅発,20260301_20260328
HND,ITM,JAL 127,16:25,17:30,,20260301_20260328
HND,ITM,JAL 131,17:35,18:45,,20260301_20260328
HND,ITM,JAL 133,18:05,19:15,,20260301_20260328
HND,ITM,JAL 137,18:45,20:00,,20260301_20260328
HND,ITM,JAL 139,18:55,20:15,,20260301_20260328
OKA,HND,JAL 902,10:20,12:35,12月1日～1月5日5分遅発(到着は同時刻),20251026_20260105
OKA,HND,JAL 904,11:15,13:30,12月1日～1月5日10分遅発5分遅着,20251026_20260105
OKA,HND,JAL 906,11:40,14:00,12月1～25日・1月5日5分遅発(到着は同時刻)12月26日～1月4日5分早着,20251026_20260105
OKA,HND,JAL 908,12:20,14:35,12月1日～1月5日5分遅発(到着は同時刻),20251026_20260105
OKA,HND,JAL 910,13:45,15:55,10月26日5分遅着10月27日～11月30日5分早発(到着は同時刻),20251026_20260105
OKA,HND,JAL 912,14:10,16:30,12月1日～1月5日5分遅発(到着は同時刻),20251026_20260105
OKA,HND,JAL 988,15:05,17:30,12月1～25日・1月5日10分遅発(到着は同時刻)12月26日～1月4日15分遅発5分遅着,20251026_20260105
OKA,HND,JAL 914,15:45,18:05,12月1日～1月5日5分遅発(到着は同時刻),20251026_20260105
OKA,HND,JAL 916,18:00,20:15,12月1日～1月5日5分遅発(到着は同時刻),20251026_20260105
OKA,HND,JAL 918,19:00,21:10,,20251026_20260105
OKA,HND,JAL 920,19:50,22:05,12月1日～1月5日5分遅発(到着は同時刻),20251026_20260105
OKA,HND,JAL 922,20:50,23:05,12月1日～1月5日5分遅発(到着は同時刻),20251026_20260105
OKA,HND,JAL 902,10:10,12:20,1月6～31日15分遅発,20260106_20260228
OKA,HND,JAL 904,11:25,13:35,,20260106_20260228
OKA,HND,JAL 906,11:45,14:00,,20260106_20260228
OKA,HND,JAL 908,12:25,14:35,,20260106_20260228
OKA,HND,JAL 910,13:45,15:55,,20260106_20260228
OKA,HND,JAL 912,14:15,16:30,,20260106_20260228
OKA,HND,JAL 988,15:15,17:30,,20260106_20260228
OKA,HND,JAL 914,15:45,18:00,,20260106_20260228
OKA,HND,JAL 916,18:20,20:30,,20260106_20260228
OKA,HND,JAL 918,19:00,21:10,,20260106_20260228
OKA,HND,JAL 920,19:55,22:05,,20260106_20260228
OKA,HND,JAL 922,20:55,23:05,,20260106_20260228
OKA,HND,JAL 902,10:20,12:35,,20260301_20260328
OKA,HND,JAL 904,11:15,13:30,,20260301_20260328
OKA,HND,JAL 906,11:35,13:55,,20260301_20260328
OKA,HND,JAL 908,12:20,14:35,,20260301_20260328
OKA,HND,JAL 910,13:40,15:55,,20260301_20260328
OKA,HND,JAL 912,14:15,16:35,3月1～12日5分早発,20260301_20260328
OKA,HND,JAL 988,15:15,17:35,3月1～12日5分早発,20260301_20260328
OKA,HND,JAL 914,15:45,18:05,,20260301_20260328
OKA,HND,JAL 916,18:00,20:15,3月1～12日15分早発,20260301_20260328
OKA,HND,JAL 918,18:55,21:10,,20260301_20260328
OKA,HND,JAL 920,19:50,22:05,,20260301_20260328
OKA,HND,JAL 922,20:50,23:05,,20260301_20260328
OKA,FUK,JTA 2052,08:30,10:10,12月26日～1月4日運航,20251026_20260105
